UID,title,authors,abstract,pdf_url,date1,time1,date2,time2,room_letter1,room_letter2,room,cluster,position,cluster_name,gather_town_link
DEMO-135,TAILOR: Teaching with Active and Incremental Learning for Object Registration,Qianli Xu|Nicolas Gauthier|Wenyu Liang|Fen Fang|Hui Li Tan|Ying Sun|Yan Wu|Liyuan Li|Joo Hwee Lim,"When deploying a robot to a new task, one often has to train it to detect novel objects, which is time-consuming and labor- intensive. We present TAILOR - a method and system for ob- ject registration with active and incremental learning. When instructed by a human teacher to register an object, TAILOR is able to automatically select viewpoints to capture informa- tive images by actively exploring viewpoints, and employs a fast incremental learning algorithm to learn new objects without potential forgetting of previously learned objects. We demonstrate the effectiveness of our method with a KUKA robot to learn novel objects used in a real-world gearbox as- sembly task through natural interactions.",https://www.aaai.org/AAAI21Papers/DEMO-135.XuQ.pdf,6-Feb,,,,Z,,DEMO-D3-A,A,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-135
DEMO-153,ESO-MAPF: Bridging Discrete Planning and Continuous Execution in Multi-Agent Pathfinding,Ján Chudý|Pavel Surynek,"We present ESO-MAPF, a research and educational platform for experimenting with multi-agent path finding (MAPF). ESO-MAPF focuses on demonstrating the planning-acting chain in the MAPF domain. MAPF is the task of finding collision free paths for agents from their starting positions to given individual goals. The standard MAPF uses the abstraction where agents move in an undirected graph via traversing its edges in discrete steps. The discrete abstraction simplifies the planning phase however resulting discrete plans often need to be executed in the real continuous environment. ESO-MAPF shows how to bridge discrete planning and the acting phase in which the resulting plans are executed on physical robots. We simulate centralized plans on a group of OZOBOT Evo robots using their reflex functionalities and outputs on the surface of the screen that serves as the environment. Various problems arising along the planning-acting chain are illustrated to emphasize the educational point of view.",https://www.aaai.org/AAAI21Papers/DEMO-153.Chud%FDJ.pdf,6-Feb,,,,Z,,DEMO-D3-B,B,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-153
DEMO-155,OzoMorph: Demonstrating Colored Multi-Agent Path Finding on Real Robots,Roman Barták|Jakub Mestek,"Multi-agent Path Finding (MAPF) deals with finding collision-free paths for a set of agents on a graph, where each agent has its origin and destination. Colored MAPF is a generalization of MAPF, where groups of agents are moving, and the set of destination nodes is specified per group rather than per agent. OzoMorph is software providing an intuitive user interface for specifying Colored MAPF problems, solving them by translation to SAT, and finally visualizing the solution either in a computer simulation or by converting the plans to executable instructions for Ozobot Evo robots.",https://www.aaai.org/AAAI21Papers/DEMO-155.Bart%E1kR.pdf,7-Feb,,,,Z,,DEMO-D4-D,D,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-155
DEMO-157,Proof of Learning (PoLe): Empowering Machine Learning with Consensus Building on Blockchains (Demo),Yixiao Lan|Yuan Liu|Boyang Li|Chunyan Miao,"The consensus algorithm is the core component of a blockchain system, which determines the efficiency, security, and scalability of the blockchain network. The representative consensus algorithm is the proof of work (PoW) proposed in Bitcoin, where the consensus process consumes large amount of compute in solving meaningless Hash puzzel. Meanwhile, the deep learning (DL) has brought unprecedented performance gains at heavy computate cost. In this demo, we channels the otherwise wasted computational power to the practical purpose of training neural network models, through the proposed proof of learning (PoL) consensus algorithm. In PoLe, the training/testing data are released to the entire blockchain network (BCN) and the consensus nodes train NN models on the data, which serves as the proof of learning. When the consensus on the BCN considers a NN model to be valid, a new block is appended to the blockchain. Through our system, we investigate the potential of enpowering machine learning with consensus building on blockchains.",https://www.aaai.org/AAAI21Papers/DEMO-157.LanY.pdf,5-Feb,,,,Z,,DEMO-D2-C,C,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-157
DEMO-159,DeepRobust: A Platform for Adversarial Attacks and Defenses,Yaxin Li|Wei Jin|Han Xu|Jiliang Tang,"DeepRobust is a PyTorch platform for generating adversarial examples and building robust machine learning models for different data domains. Users can easily evaluate the attack performance against different defense methods with DeepRobust and get performance analyzing visualization. In this  paper, we introduce the functions of DeepRobust with detailed instructions. We believe that DeepRobust is a useful tool to measure deep learning model robustness and to find the suitable countermeasures against adversarial attacks. The platform is kept updated and can be found at https://github.com/DSE-MSU/DeepRobust. More details of instruction can be found in the documentation at https://deeprobust.readthedocs.io/en/latest/.",https://www.aaai.org/AAAI21Papers/DEMO-159.LiY.pdf,4-Feb,,,,Z,,DEMO-D1-F,F,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-159
DEMO-170,KAAPA: Knowledge Aware Answers from PDF Analysis,Nicolas Fauceglia|Mustafa Canim|Alfio Gliozzo|Jennifer J. Liang|Nancy Xin Ru Wang|Douglas Burdick|Nandana Mihindukulasooriya|Vittorio Castelli|Guy Feigenblat|David Konopnicki|Yannis Katsis|Radu Florian|Yunyao Li|Salim Roukos|Avirup Sil,"We present KaaPa (Knowledge Aware Answers  from Pdf Analysis), an integrated solution for machine reading comprehension over both text and tables extracted from PDFs. KaaPa enables interactive question refinement using facets generated from an automatically induced Knowledge Graph. In addition it provides a concise summary of the supporting evidence for the provided answers by aggregating information across multiple sources. KaaPa can be applied consistently to any collection of documents in English with zero domain adaptation effort. We showcase the use of KaaPa for QA on scientific literature using the COVID-19 Open Research Dataset.",https://www.aaai.org/AAAI21Papers/DEMO-170.FaucegliaN.pdf,6-Feb,,,,Z,,DEMO-D3-C,C,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-170
DEMO-172,Democratizing Constraint Satisfaction Problems through Machine Learning,Mohit Kumar|Samuel Kolb|Clement Gautrais|Luc De Raedt,"Constraint satisfaction problems (CSPs) are used widely, especially in the field of operations research, to model various real world problems like scheduling or planning. However,modelling a problem as a CSP is not trivial, it is labour intensive and requires both modelling and domain expertise. The emerging field of constraint learning deals with this problem by automatically  learning constraints from a given dataset. While there are several interesting approaches for constraint learning, these works are hard to access for a non-expert user. Furthermore, different approaches have different underlying formalism and require different setups before  they can be used. This demo paper combines these researches and brings it to non-expert users in the form of an interactive Excel plugin. To do this, we translate different formalism for specifying CSPs into a common language, which allows multiple constraint learners to coexist, making this plugin more powerful than individual constraint learners. Moreover, we integrate learning of CSPs from data with solving them, making it a self sufficient plugin. For the developers of different constraint learners, we provide an API that can be used to integrate their work with this plugin by implementing a handful of functions.",https://www.aaai.org/AAAI21Papers/DEMO-172.KumarM.pdf,7-Feb,,,,Z,,DEMO-D4-E,E,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-172
DEMO-174,A Health-Friendly Speaker Verification System Supporting Mask Wearing,Chaotao Chen|Di Jiang|Jinhua Peng|Rongzhong Lian|Chen Jason Zhang|Qian Xu|Lixin Fan|Qiang Yang,"We demonstrate a health-friendly speaker verification system for voice-based identity verification on mobile devices. The system is built upon a speech processing module, a ResNet-based local acoustic feature extractor and a multi-head attention-based embedding layer, and is optimized under an additive margin softmax loss for discriminative speaker verification. It is shown that the system achieves superior performance no matter whether there is mask wearing or not. This characteristic is important for speaker verification services operating in regions affected by the raging coronavirus pneumonia. With this demonstration, the audience will have an in-depth experience of how the accuracy of bio-metric verification and the personal health are simultaneously ensured. We wish that this demonstration would boost the development of next-generation bio-metric verification technologies.",https://www.aaai.org/AAAI21Papers/DEMO-174.ChenC.pdf,4-Feb,,,,Z,,DEMO-D1-A,A,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-174
DEMO-175,NEO: A System for Identifying New Emerging Occupation from Job Ads,Anna Giabelli|Lorenzo Malandri|Fabio Mercorio|Mario Mezzanzanica|Andrea Seveso,"We demonstrate NEO, a tool for automatically enriching the European Occupation and Skill Taxonomy (ESCO) with terms that represents new occupations extracted from million Online Job Advertisements (OJAs). NEO proposes (i) a novel metric that allows one to measure the semantic similarity between words in a taxonomy, and (ii) a set of measures that estimate the adherence of new terms to the most suited taxonomic concept, enabling the user to evaluate the suggestions. To test its effectiveness, NEO has been evaluated over 2M+ 2018 UK job ads, along with  a user-study to confirm the usefulness of NEO in the taxonomy enrichment task.",https://www.aaai.org/AAAI21Papers/DEMO-175.GiabelliA.pdf,5-Feb,,,,Z,,DEMO-D2-D,D,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-175
DEMO-178,IFDDS: An Anti-Fraud Outbound Robot,Zihao Wang|Minghui Yang|Chunxiang Jing|Jia Liu|Zujie Wen|Saishuai Liu|Zhe Zhang,"With the rapid growth of internet finance and e-payment, payment fraud has attracted increasing attention. To prevent customers from being cheated, systems often block risky payments depending on a risk factor. However, this may also inadvertently block cases which are not actually risky. To solve this problem, we present IFDDS, a system that proactively chats with customers through intelligent speech interaction to precisely determine the actual payment risk. Our system adopts imitation learning to learn dialogue policies. In addition, it encompasses a dialogue risk detection module which identifies fraud probability every turn based on the dialogue state. We create a web-based user interface which simulates a practical voice-based dialogue system.",https://www.aaai.org/AAAI21Papers/DEMO-178.WangZ.pdf,7-Feb,,,,Z,,DEMO-D4-F,F,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-178
DEMO-196,An Intelligent Assistant for Problem Behavior Management,Penghe Chen|Yu Lu|Jiefei Liu|Qi Xu,"We design and implement an intelligent assistant, called PB-Advisor, to advise teachers and parents on  students' problem behaviors. It utilizes a task-oriented dialogue system to identify the need deficiency underlying students' problem behaviors, and relies on a community question answering system to provide advice on typical problem behavior management. In addition, it also provides various learning resources, and illustrates the relations between influential factors on typical problem behaviors through data analysis. With PB-Advisor, teachers and parents without psychological expertise can easily find proper advice on students’ problem behaviors.",https://www.aaai.org/AAAI21Papers/DEMO-196.ChenP.pdf,6-Feb,,,,Z,,DEMO-D3-D,D,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-196
DEMO-212,TODS: An Automated Time Series Outlier Detection System,Kwei-Herng Lai|Daochen Zha|Guanchu Wang|Junjie Xu|Yue Zhao|Devesh Kumar|Yile Chen|Purav Zumkhawaka|Minyang Wan|Diego Martinez|Xia Ben Hu,"We present TODS, an automated Time Series Outlier Detection System for research and industrial applications. TODS is a highly modular system that supports easy pipeline construction. The basic building block of TODS is primitive, which is an implementation of a function with hyperparameters. TODS currently supports 70 primitives, including data processing, time series processing, feature analysis, detection algorithms, and a reinforcement module. Users can freely construct a pipeline using these primitives and perform end- to-end outlier detection with the constructed pipeline. TODS provides a Graphical User Interface (GUI), where users can flexibly design a pipeline with drag-and-drop. Moreover, a data-driven searcher is provided to automatically discover the most suitable pipelines given a dataset. TODS is released under Apache 2.0 license at https://github.com/datamllab/tods. A video is available on YouTube (https://youtu.be/JOtYxTclZgQ)",https://www.aaai.org/AAAI21Papers/DEMO-212.LaiKH.pdf,7-Feb,,,,Z,,DEMO-D4-A,A,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-212
DEMO-219,Bootstrapping Dialog Models from Human to Human Conversation Logs,Pankaj Dhoolia|Vineet Kumar|Danish Contractor|Sachindra Joshi,"State-of-the-art commercial dialog platforms provide powerful tools to build a conversational agent. These platforms provide complete control to the dialog designer to model user-agent interactions. However, a dialog designer needs to rely on domain experts to manually build the dialog model -- by creating dialog flow nodes and modeling user intents. This process is laborious, time consuming and expensive and does not allow the designer to exploit human to human conversation logs effectively. In this work, we present a research prototype that can ingest human-to-human conversation logs between an end-user and an agent, and suggest user-intents and agent-responses, given a conversation context. We utilize human to human conversation logs to build two emulators: user and agent. An agent emulator models an agent response given the conversation context so far, and a user emulator outputs possible user responses. Our system is able to recommend conversational  intents as well as conversation flow using emulators based on real-world data, thus making the process of designing a bot more efficient. To the best our knowledge this is the first system that enables data-driven dialog model creation by emulating users and agents.",https://www.aaai.org/AAAI21Papers/DEMO-219.DhooliaP.pdf,5-Feb,,,,Z,,DEMO-D2-E,E,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-219
DEMO-227,AI-Empowered Decision Support for COVID-19 Social Distancing,Hongchao Jiang|Wei Yang Bryan Lim|Jer Shyuan Ng|Harold Ze Chie Teng|Han Yu|Zehui Xiong|Dusit Niyato|Chunyan Miao,"The COVID-19 pandemic is one of the most severe challenges the world faces today. In order to contain the transmission of COVID-19, people around the world have been advised to practise social distancing. However, maintaining social distance is a challenging problem, as we often do not know beforehand how crowded the places we intend to visit are. In this paper, we demonstrate crowded.sg, an AI-empowered platform that leverages on Unmanned Aerial Vehicles (UAVs), crowdsourced images, and computer vision techniques to provide social distancing decision support.",https://www.aaai.org/AAAI21Papers/DEMO-227.JiangH.pdf,5-Feb,,,,Z,,DEMO-D2-F,F,1,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-227
DEMO-232,MMKE: A Multi-Model Knowledge Extraction System from Unstructured Texts,Qian-Wen Zhang|Zhao Yan|Tianyang Zhao|Shi-Wei Zhang|Meng Yao|Mengliang Rao|Yunbo Cao,"In this work, we present a Multi-Model Knowledge Extraction (MMKE) System which consists of two unstructured text extraction models (RelationSO model and SubjectRO model) based on a multi-task learning framework. Instead of recognizing entity first and then predicting relationships between entity pairs in previous works, MMKE detects subject and corresponding relationships before extracting objects to cope with the diverse object-type problem, overlapping problem and non-predefined relation problem. Our system accepts unstructured text as input, from which it automatically extracts triplets knowledge (subject, relation, object). More importantly, we incorporate a number of user-friendly extraction functionalities, such as multi-format uploading, one-click extractions, knowledge editing and graphical displays. The demonstration video is available at this link: https://youtu.be/HtOPJrGhSxk.",https://www.aaai.org/AAAI21Papers/DEMO-232.ZhangQW.pdf,4-Feb,,,,Z,,DEMO-D1-B,B,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-232
DEMO-233,The Adapter-Bot: All-In-One Controllable Conversational Model,Zhaojiang Lin|Andrea Madotto|Yejin Bang|Pascale Fung,"In this paper, we present the Adapter-Bot, a generative chat-bot that uses a fixed backbone conversational model such as DialGPT (Zhang et al. 2019) and triggers on-demand dialogue skills via different adapters (Houlsby et al. 2019). Each adapter can be trained independently, thus allowing a continual integration of skills without retraining the entire model. Depending on the skills, the model is able to process multiple knowledge types, such as text, tables, and graphs, in a seamless manner. The dialogue skills can be triggered automatically via a dialogue manager, or manually, thus allowing high-level control of the generated responses. At the current stage, we have implemented 12 response styles (e.g.,  positive, negative etc.), 6 goal-oriented skills (e.g. weather information, movie recommendation, etc.), and personalized and emphatic responses.",https://www.aaai.org/AAAI21Papers/DEMO-233.LinZ.pdf,5-Feb,,,,Z,,DEMO-D2-A,A,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-233
DEMO-252,IBM Scenario Planning Advisor: A Neuro-Symbolic ERM Solution,Mark Feblowitz|Oktie Hassanzadeh|Michael Katz|Shirin Sohrabi|Kavitha Srinivas|Octavian Udrea,"Scenario Planning is a commonly used Enterprise Risk Management (ERM) technique to help decision makers with longterm plans by considering multiple alternative futures. It is typically a manual, highly labor intensive process involving dozens of experts and hundreds to thousands of person-hours. We previously introduced a Scenario Planning Advisor prototype (Sohrabi et al. 2018a,b) that focuses on generating scenarios quickly based on expert-developed models. We present the evolution of that prototype into a full-scale, cloud deployed ERM solution that: (i) can automatically (through NLP) create models from authoritative documents such as books, reports and articles, such that what typically took hundreds to thousands of person-hours can now be achieved in minutes to hours; (ii) can gather news and other feeds relevant to forces in the risk models and group them into storylines without any other user input; (iii) can generate scenarios at scale, starting with dozens of forces of interest from models with thousands of forces in seconds; (iv) provides interactive visualizations of scenario and force model graphs, including a full model editor in the browser. The SPA solution is deployed under a non-commercial use license at https://spa-service.draco.res.ibm.com and includes a user guide to help new users get started. A video demonstration is available at https://www.youtube.com/watch?v=IaX3d37NUl8.",https://www.aaai.org/AAAI21Papers/DEMO-252.FeblowitzM.pdf,5-Feb,,,,Z,,DEMO-D2-B,B,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-252
DEMO-265,A Novel Mountain Driving Unity Simulated Environment for Autonomous Vehicles,Xiaohu Li|Zehong Cao|Quan Bai,"The simulated driving environment provides a low cost and time-saving platform to test the performance of the autonomous vehicle by linkage with existing machine learning approaches. However, most of existing simulated driving environments focus on building flat roads in urban areas. Still, they neglected to endeavour the tough steep, curvy hill roads, such as mountain paths around suburban areas. In this study, by deploying in Unity engine, we developed the first complex mountain driving simulated environment with characterizing continuous curves and up/downhill. Then, two state-of-art reinforcement learning (RL) algorithms are used to train a vehicle agent and test the performance of autonomous vehicles in our developed simulated environment. Also, we set 5 different levels of vehicle's speeds and observe the cumulative rewards during the vehicle agent training. Our demonstration presents the developed environment supports for complex mountain scenario configurations and RL-based autonomous vehicles, and our findings show that the vehicle agent could achieve high cumulative rewards during the training stage, suggesting that our work is a potential new simulation environment for autonomous vehicles research. The demonstration video can be viewed via the link: https://youtu.be/0wSqGeCn-NU.",https://www.aaai.org/AAAI21Papers/DEMO-265.LiX.pdf,4-Feb,,,,Z,,DEMO-D1-C,C,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-265
DEMO-268,"CogNet: Bridging Linguistic Knowledge, World Knowledge and Commonsense Knowledge",Chenhao Wang|Yubo Chen|Zhipeng Xue|Yang Zhou|Jun Zhao,"In this paper, we present CogNet, a knowledge base (KB) dedicated to integrating three types of knowledge: (1) linguistic knowledge from FrameNet, which schematically describes situations, objects and events. (2) world knowledge from YAGO, Freebase, DBpedia and Wikidata, which provides explicit knowledge about specific instances. (3) commonsense knowledge from ConceptNet, which describes implicit general facts. To model these different types of knowledge consistently, we introduce a three-level unified frame-styled representation architecture. To integrate free-form commonsense knowledge with other structured knowledge, we propose a strategy that combines automated labeling and crowdsourced annotation. At present, CogNet integrates 1,000+ semantic frames from linguistic KBs, 20,000,000+ frame instances from world KBs, as well as 90,000+ commonsense assertions from commonsense KBs. All these data can be easily queried and explored on our online platform, and free to download in RDF format for utilization under a CC-BY-SA 4.0 license. The demo and data are available at http://cognet.top/.",https://www.aaai.org/AAAI21Papers/DEMO-268.WangC.pdf,5-Feb,,,,Z,,DEMO-D2-C,C,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-268
DEMO-278,Doc2Bot: A Document Grounded Bot Framework,Kshitij Fadnis|Pankaj Dhoolia|Li Zhu|Q. Vera Liao|Steven Ross|Nathaniel Mills|Sachindra Joshi|Luis Lastras,"Conversational agents, or chatbots, are widely used to provide customer care and other informational support. Currently, the development of chatbots using standard frameworks requires a lot of manual crafting by subject matter experts (SMEs). On the other hand, while learning-based approaches to dialog have made significant advancements, they require training with a large volume of dialog data, which chatbot developers typically do not have access to. To tackle these challenges, we introduce DOC2BOT, a system that supports the automated construction of chatbots by digesting various forms of documents such as business manuals, HowTos, and customer support pages that organizations own. In addition to that, DOC2BOT provides a user-friendly experience to SMEs, and to minimize their effort by supporting intuitive interactions and streamlining their workflow.",https://www.aaai.org/AAAI21Papers/DEMO-278.FadnisK.pdf,7-Feb,,,,Z,,DEMO-D4-B,B,2,Demonstrations,http://widget1.virtualchair.net/custom/aaai/jump?paperId=DEMO-278
